Star Wars: Das Erwachen der Macht (3D);Star Wars: The Force Awakens;2015;135:00 (mm:ss);J.J.Abrams;Harrison Ford (Han Solo), Mark Hamill (Luke Skywalker), Carrie Fisher (Leia Organa), Adam Driver (Kylo Ren), Daisy Ridley (Rey), John Boyega (Finn), Oscar Isaac (Poe Dameron), Lupita Nyong´o (Maz Kanata), Andy Serkis (Snoke), Domhnall Gleeson (General Hux), Anthony Daniels (C-3PO), Peter Mayhew (Chewbacca), Max von Sydow (Lor San Tekka), Kenny Baker (R2-D2), Gwendoline Christie (Captain Phasma)
Steve Jobs;Steve Jobs;2014;122:00 (mm:ss);Danny Boyle;Michael Fassbender (Steve Jobs), Kate Winslet (Joanna Hoffman), Seth Rogen (Steve Wozniak), Jeff Daniels (John Sculley), Michael Stuhlbarg (Andy Hertzfeld), Katherine Waterston (Chrisann Brennan), Perla Haney-Jardine (Lisa Brennan), Makenzie Moss (Lisa Brennan mit 5), Ripley Sobo (Lisa Brannan mit 9), Sarah Snook (Andrea Cunningham), John Ortiz (Joel Pforzheimer), Adam Shapiro (Avie Tevanian)
Straight outta Compton;Straight outta Compton;2014;147:00 (mm:ss);F. Gary Gray;Shea Jackson jr. (Ice Cube), Corey Hawkins (Dr. Dre), Jason Mitchell (Eazy-E), Neil Brown Jr. (DJ Yella), Aldis Hodge (MC Ren), Marlon Yates jr. (D.O.C.), R. Marcos Taylor (Suge Knight), Carra Patterson (Tomica), Alexandra Shipp (Kim), Paul Giamatti (Jerry Heller), Elena Goode (Nicole), Keith Stanfield (Snoop Dogg), Sheldon A. Smith (Warren G)
Suffragette - Taten statt Worte;Suffragette;2015;107:00 (mm:ss);Sarah Gavron;Carey Mulligan (Maud Watts), Helena Bonham Carter (Edith Ellyn), Brendan Gleeson (Inspector Arthur Steed), Anne-Marie Duff (Violet Miller), Ben Whishaw (Sonny Watts), Romola Garai (Alice Haughton), Meryl Streep (Emmeline Pankhurst), Finbar Lynch (Hugh Ellyn), Natalie Press (Emily Wilding Davison), Samuel West (Benedict Haughton), Geoff Bell (Norman Taylor)
Suite Francaise - Melodie der Liebe;Suite francaise;2014;108:00 (mm:ss);Saul Dibb;Michelle Williams (Lucile Angellier), Kristin Scott Thomas (Madame Angellier), Matthias Schoenaerts (Lieutenant Bruno von Falk), Lambert Wilson (Viscount de Montmort), Margot Robbie (Celine Joseph), Sam Riley (Benoit Labarie), Ruth Wilson (Madeleine Labarie), Eric Godon (Monsieur Joseph), Clare Holman (Marthe ), Harriet Walter (Viscountess de Montmort)
Superwelt;Superwelt;2014;118:00 (mm:ss);Karl Markovics;Ulrike Beimpold (Gabi), Rainer Wöss (Hannes), Nikolai Gemel (Ronnie), Angelika Strahser (Sabine), Thomas Mraz (Georg), Sibylle Kos (Helli), Michael Scherff (Nachbar), Fortuinity Thomas (Gfüllter), Christian Zenger (Mann mit Kind an der Kassa), Alice Marie Schneider (magere Kollegin)
The Big Short;The Big Short;2015;130:00 (mm:ss);Adam McKay;Christian Bale (Michael Burry), Brad Pitt (Ben Hockett), Ryan Gosling (Greg Lippmann), Marisa Tomei, Steve Carell (Steve Eisman), Finn Wittrock, Melissa Leo (Georgia Hale), Rafe Spall, Al Sapienza (CEO Option Co.)
The Danish Girl;The Danish Girl;2015;119:00 (mm:ss);Tom Hooper;Eddie Redmayne, Alicia Vikander, Amber Heard
Trumbo;Trumbo;2015;124:00 (mm:ss);Jay Roach;Bryan Cranston (Dalton Trumbo), Diane Lane (Cleo Trumbo), Helen Mirren (Hedda Hopper), Elle Fanning (Nikola Trumbo), Alan Tudyk (Ian McLellan Hunter), John Goodman (Frank King), Adewale Akinnuoye-Agbaje (Virgil Brooks), Michael Stuhlbarg (Arlen Hird) , David Maldonado (Rocco), John Getz (Sam Wood)
Wie auf Erden;Så ock på jorden;2015;134:00 (mm:ss);Kay Pollak;Frida Hallgren (Lena), Niklas Falk (Stig), Jakob Oftebro (Axel), Lennart Jähkel (Arne), André Sjöberg (Tore), Björn Granath (Bjelke), Thomas Hanzon (Bruno), Eric Ericson (Verner), Maria Sid (Helena), Björn Bengtsson (Jonas), Astrid Froede Othelius (Marie), Axelle Axell (Florence), Lasse Pettersson (Erik), Mikael Rahm (Holmfrid), Ylva Lööf (Siv)
